price,dispaly_res_type,os,processor_brand,connectivity_feature,ram,internal_storgar,mobile_brand,dispaly_size_in_inches,back_camera,front_camera,Battery_Category
12999,Full HD+,Android 12,Mediatek,5,4,64,POCO,6,50.0,8.0,4000-5000
36999,Full HD+,Android 12,Mediatek,5,8,128,realme,6,50.0,16.0,4000-5000
34990,Full HD+,Android 12,Mediatek,5,8,128,vivo,6,108.0,14.093100833965124,4000-5000
12099,Full HD+,Android 10,Mediatek,4,6,128,POCO,6,13.0,8.0,4000-5000
5839,HD+,other,Snapdragon,4,2,32,Redmi,5,12.0,5.0,3000-4000
16999,Full HD+ AMOLED Display,Android 12,Snapdragon,5,6,128,REDMI,6,48.0,13.0,4000-5000
31990,other,Android 10,Snapdragon,5,8,128,other,6,48.0,16.0,4000-5000
14499,Full HD+,Android 13,Mediatek,5,6,128,realme,6,50.0,8.0,4000-5000
9990,Full HD+,Android 10,Snapdragon,4,4,64,POCO,6,48.0,8.0,5000-6000
39999,Full HD+ AMOLED Display,Android 13,Mediatek,5,8,256,vivo,6,50.0,50.0,4000-5000
16999,Full HD+,Android 10,Snapdragon,4,6,64,realme,6,64.0,14.093100833965124,4000-5000
8999,HD+,Android 12,other,4,3,32,realme,6,50.0,5.0,4000-5000
9490,HD+,Android 11,other,4,4,128,realme,6,50.0,8.0,4000-5000
37999,Full HD+,Android 13,Snapdragon,5,12,256,OPPO,6,50.0,32.0,4000-5000
19999,other,Android 11,Snapdragon,4,6,128,REDMI,6,64.0,16.0,5000-6000
7799,HD+,Android 13,Mediatek,4,4,128,Infinix,6,50.0,8.0,5000-6000
8499,Full HD+,Android 13,other,4,4,128,Motorola,6,50.0,8.0,4000-5000
7499,HD+,other,Mediatek,4,4,64,Motorola,6,13.0,8.0,<3000
23999,Full HD+ AMOLED Display,Android 12,Mediatek,5,8,256,REDMI,6,50.0,16.0,4000-5000
20999,Full HD+,Android 14,Snapdragon,5,8,128,vivo,6,50.0,16.0,4000-5000
39999,Full HD+,Android 12,Snapdragon,5,12,256,Motorola,6,200.0,60.0,4000-5000
27999,other,Android 14,Mediatek,5,12,512,POCO,6,64.0,16.0,4000-5000
10990,HD+,Android 10,Mediatek,4,2,32,OPPO,6,13.0,5.0,4000-5000
15499,other,Android 13,Mediatek,5,6,128,vivo,6,50.0,8.0,4000-5000
8490,HD+,other,Mediatek,4,3,32,realme,6,13.0,13.0,4000-5000
9499,Full HD+,Android 13,Mediatek,4,4,128,REDMI,6,50.0,8.0,4000-5000
16999,Full HD+ AMOLED Display,Android 11,Snapdragon,5,6,128,Motorola,6,50.0,16.0,4000-5000
8699,HD+,Android 13,Mediatek,4,8,128,Infinix,6,50.0,8.0,4000-5000
9618,HD+,Android 12,Mediatek,4,4,64,vivo,6,13.0,5.0,4000-5000
8299,HD+,Android 14,Mediatek,4,4,128,REDMI,6,8.0,5.0,4000-5000
18999,Full HD+,Android 12,Snapdragon,5,6,128,POCO,6,48.0,13.0,4000-5000
15999,Full HD+,Android 13,other,5,6,128,SAMSUNG,6,50.0,13.0,5000-6000
9480,HD+,Android 12,Mediatek,4,6,128,REDMI,6,50.0,5.0,4000-5000
23999,Full HD+ AMOLED Display,Android 12,Snapdragon,5,6,128,vivo,6,64.0,16.0,4000-5000
19999,Full HD+,Android 10,Snapdragon,4,8,256,POCO,6,64.0,14.093100833965124,4000-5000
10999,HD+,Android 11,Snapdragon,4,4,64,REDMI,6,50.0,5.0,5000-6000
17999,Full HD+,Android 10,Mediatek,4,6,64,realme,6,64.0,16.0,4000-5000
10999,Full HD+,Android 12,Snapdragon,4,4,64,Motorola,6,50.0,16.0,4000-5000
8999,HD+,Android 10,Mediatek,4,4,64,Motorola,6,13.0,5.0,4000-5000
19876,Full HD+,Android 13,Mediatek,5,8,256,REDMI,6,108.0,14.093100833965124,4000-5000
13999,Full HD+,Android 10,Snapdragon,4,4,64,REDMI,6,48.0,8.0,5000-6000
14999,Full HD+,Android 12,Mediatek,5,6,128,POCO,6,50.0,8.0,4000-5000
13990,HD+,Android 11,other,4,4,128,realme,6,50.0,8.0,4000-5000
5999,HD+,Android 13,other,4,2,64,Motorola,6,13.0,5.0,4000-5000
13999,HD+,Android 13,Mediatek,5,4,128,OPPO,6,13.0,8.0,4000-5000
17490,Full HD+,Android 12,Snapdragon,4,8,128,OPPO,6,64.0,32.0,4000-5000
29990,Full HD+,other,Mediatek,4,6,128,OPPO,6,48.0,16.0,3000-4000
25999,Full HD+,other,other,4,6,64,Honor,6,16.0,16.0,3000-4000
38999,Full HD+,Android 13,Snapdragon,5,8,128,OPPO,6,108.0,32.0,4000-5000
27999,Full HD+ AMOLED Display,Android 12,Mediatek,5,8,256,REDMI,6,200.0,16.0,4000-5000
13999,Full HD+,Android 10,Snapdragon,4,4,64,REDMI,6,48.0,8.0,5000-6000
64999,Full HD+,Android 13,Snapdragon,5,8,128,SAMSUNG,6,50.0,12.0,3000-4000
15999,HD+,Android 13,other,5,6,128,SAMSUNG,6,50.0,13.0,4000-5000
38999,Full HD,Android 12,Mediatek,5,8,128,OPPO,6,50.0,32.0,4000-5000
69999,Full HD+,Android 14,Mediatek,5,16,512,vivo,6,50.0,32.0,4000-5000
33999,Full HD+,Android 13,Snapdragon,5,8,256,other,6,12.0,32.0,4000-5000
8499,Full HD+,Android 12,Mediatek,4,4,64,REDMI,6,50.0,8.0,4000-5000
10999,HD+,Android 13,Mediatek,5,6,128,POCO,6,50.0,14.093100833965124,4000-5000
33999,Full HD+,Android 13,Snapdragon,5,8,256,other,6,12.0,32.0,4000-5000
11999,HD+,other,Snapdragon,4,4,128,realme,6,12.0,8.0,4000-5000
9999,HD+,Android 13,Mediatek,4,4,64,OPPO,6,8.0,5.0,4000-5000
25990,Full HD+,Android 10,Mediatek,4,8,128,OPPO,6,48.0,14.093100833965124,4000-5000
8299,HD+,Android 14,Mediatek,4,4,128,REDMI,6,8.0,5.0,4000-5000
12999,Full HD+,Android 13,other,4,4,64,SAMSUNG,6,50.0,13.0,4000-5000
15200,Full HD+,Android 11,Snapdragon,4,4,128,vivo,6,50.0,8.0,4000-5000
18999,Full HD+,Android 10,Mediatek,4,6,128,REDMI,6,48.0,13.0,5000-6000
14499,Full HD+,Android 11,Mediatek,4,6,128,realme,6,64.0,16.0,4000-5000
9499,Full HD+,Android 13,Mediatek,4,4,128,REDMI,6,50.0,8.0,4000-5000
54999,Full HD+,Android 13,other,5,8,128,SAMSUNG,6,50.0,10.0,4000-5000
9299,HD+,Android 14,Mediatek,4,6,128,REDMI,6,8.0,5.0,4000-5000
32999,Full HD+ AMOLED Display,Android 13,Snapdragon,5,8,128,vivo,6,50.0,50.0,4000-5000
24980,Full HD+,Android 12,other,5,6,128,SAMSUNG,6,48.0,13.0,4000-5000
15399,Full HD+,Android 11,Mediatek,4,8,128,OPPO,6,48.0,16.0,4000-5000
18990,HD+,Android 11,Mediatek,4,4,128,OPPO,6,50.0,16.0,4000-5000
13999,Full HD+,other,Snapdragon,4,4,64,Redmi,6,48.0,13.0,3000-4000
16499,Full HD+ AMOLED Display,Android 11,Mediatek,4,6,128,POCO,6,64.0,16.0,4000-5000
29999,Full HD+,Android 14,Mediatek,5,8,128,OPPO,6,50.0,32.0,4000-5000
6199,HD+,Android 12,other,4,2,64,Infinix,6,8.0,5.0,4000-5000
39890,Full HD+,Android 10,Snapdragon,4,8,128,other,6,48.0,16.0,4000-5000
19999,HD+,Android 10,other,4,6,64,SAMSUNG,6,48.0,13.0,4000-5000
7099,HD+,Android 13,Mediatek,4,4,64,Infinix,6,50.0,8.0,4000-5000
7499,HD+,Android 11,Mediatek,4,2,64,Infinix,6,8.0,5.0,4000-5000
8899,HD+,other,Snapdragon,4,4,64,Redmi,5,12.0,16.0,3000-4000
65999,other,Android 13,other,5,12,128,other,6,50.0,10.8,4000-5000
22999,Full HD+,Android 13,Mediatek,5,8,128,Motorola,6,50.0,32.0,4000-5000
24999,Full HD+,Android 13,Mediatek,5,12,256,Motorola,6,50.0,32.0,4000-5000
14990,HD+,Android 11,Mediatek,4,6,128,vivo,6,13.0,8.0,4000-5000
27299,Full HD+,Android 10,Snapdragon,5,8,128,realme,6,64.0,14.093100833965124,4000-5000
7533,HD+,Android 12,Mediatek,4,4,128,SAMSUNG,6,13.0,14.093100833965124,4000-5000
7999,HD+,other,Mediatek,4,2,32,Infinix,6,13.0,8.0,3000-4000
12498,Full HD+,Android 12,Snapdragon,4,6,128,vivo,6,50.0,8.0,4000-5000
14499,HD+,Android 12,Mediatek,4,4,64,vivo,6,50.0,8.0,4000-5000
25999,Full HD+,Android 12,Mediatek,5,12,256,realme,6,50.0,16.0,4000-5000
6499,HD+,Android 10,Mediatek,4,2,32,Infinix,6,8.0,5.0,4000-5000
29999,Full HD+ AMOLED Display,Android 12,Mediatek,5,8,128,vivo,6,50.0,44.0,4000-5000
10999,Full HD+,Android 12,Snapdragon,4,4,64,Motorola,6,50.0,16.0,4000-5000
12999,Full HD+,Android 12,Mediatek,5,4,64,POCO,6,50.0,8.0,4000-5000
74990,Full HD+,Android 13,Mediatek,5,8,256,OPPO,6,50.0,32.0,4000-5000
13999,HD+,Android 13,Mediatek,5,4,128,OPPO,6,13.0,8.0,4000-5000
34999,Full HD+,Android 12,Snapdragon,5,8,128,Motorola,6,200.0,60.0,4000-5000
38999,Full HD+,Android 12,Mediatek,5,8,256,realme,6,50.0,16.0,4000-5000
33999,Full HD+,Android 14,Snapdragon,5,12,256,realme,6,50.0,32.0,4000-5000
