price,dispaly_res_type,os,processor_brand,connectivity_feature,battery,ram,internal_storgar,mobile_brand,dispaly_size_in_inches,back_camera,front_camera
65999,other,Android 13,other,5,4926,12,128,Google,6.7,50.0,10.8
39999,Full HD+,Android 13,other,5,4300,8,128,Google,6.1,64.0,13.0
39999,Full HD+,Android 13,other,5,4300,8,128,Google,6.1,64.0,13.0
39999,Full HD+,Android 13,other,5,4300,8,128,Google,6.1,64.0,13.0
46999,Full HD+,Android 13,other,5,4270,8,128,Google,6.3,50.0,10.8
46999,Full HD+,Android 13,other,5,4270,8,128,Google,6.3,50.0,10.8
46999,Full HD+,Android 13,other,5,4270,8,128,Google,6.3,50.0,10.8
82999,Full HD+,Android 14,other,5,4575,8,256,Google,6.2,50.0,10.5
75999,Full HD+,Android 14,other,5,4575,8,128,Google,6.2,50.0,10.5
75999,Full HD+,Android 14,other,5,4575,8,128,Google,6.2,50.0,10.5
75999,Full HD+,Android 14,other,5,4575,8,128,Google,6.2,50.0,10.5
75999,Full HD+,Android 14,other,5,4575,8,128,Google,6.2,50.0,10.5
65999,other,Android 13,other,5,4926,12,128,Google,6.7,50.0,10.8
106999,Full HD+ AMOLED Display,Android 14,other,5,5050,12,128,Google,6.7,50.0,10.5
106999,Full HD+ AMOLED Display,Android 14,other,5,5050,12,128,Google,6.7,50.0,10.5
65999,other,Android 13,other,5,4926,12,128,Google,6.7,50.0,10.8
113999,Full HD+ AMOLED Display,Android 14,other,5,5050,12,256,Google,6.7,50.0,10.5
43999,Full HD+,Android 12,other,5,4410,6,128,Google,6.14,12.2,8.0
43999,Full HD+,Android 12,other,5,4410,6,128,Google,6.14,12.2,8.0
80000,Full HD+,other,Snapdragon,4,2915,4,128,Google,5.5,12.2,
12990,Full HD,Android 11,Mediatek,4,4150,8,256,Pluzz,6.3,48.0,25.0
12990,Full HD,Android 11,Mediatek,5,4150,8,128,Pluzz,6.3,48.0,
12990,Full HD,Android 11,Mediatek,4,4150,8,256,Pluzz,6.3,48.0,
19999,Full HD+,other,other,4,3340,4,64,Honor,5.9,16.0,
24785,Full HD+,Android 13,Snapdragon,5,5800,8,256,Honor,6.78,108.0,16.0
27999,Full HD+,Android 13,Snapdragon,5,5800,8,256,Honor,6.78,108.0,16.0
16999,Full HD+,other,other,4,3000,4,64,Honor,5.65,13.0,
13999,Full HD+,other,other,4,3000,3,32,Honor,5.65,13.0,
13999,Full HD+,other,other,4,3000,3,32,Honor,5.65,13.0,
13999,Full HD+,other,other,4,3000,3,32,Honor,5.65,13.0,
18999,Full HD+,other,other,4,3400,6,64,Honor,6.21,13.0,24.0
16999,Full HD+,other,other,4,3400,4,64,Honor,6.21,13.0,24.0
